encounter_datetime,park_area_id,city_agency,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
06/13/2020 05:18:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 05:20:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 01:00:00 PM,Q004,DEP,Social distancing,Social Distancing,5,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 03:50:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 05:15:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:00:00 PM,X039-ZN16,DEP,Social distancing,Social Distancing,30,0,Open field/multi-purpose play area,,,,,Bronx
06/13/2020 05:15:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 01:45:00 PM,Q001,DEP,Social distancing,Social Distancing,15,2,Open field/multi-purpose play area,,,,,Queens
06/13/2020 12:00:00 PM,Q004,DEP,Social distancing,Social Distancing,10,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 05:11:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 05:12:00 PM,Q015,DEP,Social distancing,Social Distancing,3,10,Open field/multi-purpose play area,,,,,Queens
06/13/2020 03:00:00 PM,X039-ZN16,DEP,Social distancing,Social Distancing,15,0,Walking path,,,,,Bronx
06/13/2020 05:11:00 PM,Q015,DEP,Social distancing,Social Distancing,12,2,Parking Lot,,,,,Queens
06/13/2020 05:10:00 PM,Q015-08,DEP,Social distancing,Social Distancing,12,2,Parking Lot,,,,,Queens
06/13/2020 05:00:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:09:00 PM,Q015,DEP,Social distancing,Social Distancing,10,1,Bench/sitting area,,,,,Queens
06/13/2020 01:30:00 PM,X039-ZN16,DEP,Social distancing,Social Distancing,25,2,Walking path,,,,,Bronx
06/13/2020 04:55:00 PM,B066,DDC,Patrons in an area closed to the public,Patrons in Closed Area,,,,Skate Park,20,false,false,Brooklyn
06/13/2020 11:33:00 AM,Q004,DEP,Social distancing,Social Distancing,4,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 05:00:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 12:30:00 PM,X039-ZN16,DEP,Social distancing,Social Distancing,30,0,Bench/sitting area,,,,,Bronx
06/13/2020 05:00:00 PM,Q021,DEP,Social distancing,Social Distancing,20,3,Walking path,,,,,Queens
06/13/2020 05:00:00 PM,Q102,DEP,Social distancing,Social Distancing,13,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 05:00:00 PM,B073,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:55:00 PM,Q099,DEP,Social distancing,Social Distancing,6,14,Soccer field,,,,,Queens
06/13/2020 05:00:00 PM,Q102,DEP,Social distancing,Social Distancing,8,9,Bench/sitting area,,,,,Queens
06/13/2020 05:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 05:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:57:00 PM,X118,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Volleyball court,2,false,false,Bronx
06/13/2020 04:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 11:30:00 AM,X039-ZN16,DEP,Social distancing,Social Distancing,20,0,Bench/sitting area,,,,,Bronx
06/13/2020 05:00:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:45:00 PM,B082,DEP,Social distancing,Social Distancing,12,0,Walking path,,,,,Brooklyn
06/13/2020 05:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 04:55:00 PM,R107,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 04:55:00 PM,Q102-03,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,4,true,true,Queens
06/13/2020 04:55:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:53:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:52:00 PM,B040,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:50:00 PM,Q102-03,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,7,true,true,Queens
06/13/2020 04:48:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:40:00 PM,B066,DDC,Social distancing,Social Distancing,0,50,Open field/multi-purpose play area,,,,,Brooklyn
06/13/2020 04:15:00 PM,Q001,DEP,Social distancing,Social Distancing,12,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:45:00 PM,Q008,DEP,Social distancing,Social Distancing,0,16,Bench/sitting area,,,,,Queens
06/13/2020 04:45:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:45:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:55:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:44:00 PM,Q024,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:29:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 04:30:00 PM,Q001,DEP,Social distancing,Social Distancing,11,2,Walking path,,,,,Queens
06/13/2020 02:30:00 PM,Q001-01,DEP,Social distancing,Social Distancing,0,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 03:30:00 AM,Q001,DEP,Social distancing,Social Distancing,8,1,Open field/multi-purpose play area,,,,,Queens
,Q021,DEP,Social distancing,Social Distancing,5,8,Bench/sitting area,,,,,Queens
06/13/2020 04:30:00 PM,X039,DEP,Social distancing,Social Distancing,12,0,Open field/multi-purpose play area,,,,,Bronx
06/13/2020 04:40:00 PM,Q008,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,18,true,false,Queens
06/13/2020 01:30:00 PM,Q001,DEP,Social distancing,Social Distancing,11,2,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:39:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:30:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:38:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:37:00 AM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:33:00 PM,R031,DEP,Social distancing,Social Distancing,70,0,Open field/multi-purpose play area,,,,,Staten Island
06/13/2020 04:33:00 PM,Q099,DEP,Social distancing,Social Distancing,12,6,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:36:00 PM,Q448-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:30:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:30:00 PM,Q024,DOC,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:30:00 PM,M099,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,6,true,true,Manhattan
06/13/2020 04:30:00 PM,B082,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 03:00:00 PM,Q024,DOC,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:29:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:20:00 PM,Q099,DEP,Social distancing,Social Distancing,2,18,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:28:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 04:27:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:23:00 PM,B073,OATH,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2,false,false,Brooklyn
06/13/2020 04:20:00 PM,Q102-03,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2,true,true,Queens
06/13/2020 04:25:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:21:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:04:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:10:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:15:00 PM,Q102-03,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,6,true,true,Queens
06/13/2020 04:18:00 PM,B073,OATH,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,13,false,false,Brooklyn
06/13/2020 04:10:00 PM,B066,DDC,Social distancing,Social Distancing,15,0,Open field/multi-purpose play area,,,,,Brooklyn
06/13/2020 04:16:00 PM,B073-09,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,15,true,true,Brooklyn
06/13/2020 04:00:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 04:15:00 AM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:10:00 PM,Q021,DEP,Social distancing,Social Distancing,50,2,Walking path,,,,,Queens
06/13/2020 04:10:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:00:00 PM,R106,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 02:05:00 PM,B066,DDC,Patrons in an area closed to the public,Patrons in Closed Area,,,,Skate Park,17,false,false,Brooklyn
06/13/2020 04:10:00 PM,Q015,DEP,Social distancing,Social Distancing,10,1,Bench/sitting area,,,,,Queens
06/13/2020 01:00:00 PM,Q021,DEP,Social distancing,Social Distancing,12,1,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:09:00 PM,Q015,DEP,Social distancing,Social Distancing,10,1,Bench/sitting area,,,,,Queens
06/13/2020 04:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:20:00 PM,Q015,DEP,Social distancing,Social Distancing,7,1,Walking path,,,,,Queens
06/13/2020 03:55:00 PM,Q099,DEP,Social distancing,Social Distancing,6,0,Walking path,,,,,Queens
06/13/2020 04:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/12/2020 04:07:00 PM,Q006,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:10:00 PM,Q458,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:05:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:00:00 PM,Q024,DEP,Social distancing,Social Distancing,7,0,Bench/sitting area,,,,,Queens
06/13/2020 04:03:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:35:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 04:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:00:00 PM,R066,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 04:00:00 PM,Q102,DEP,Social distancing,Social Distancing,9,9,Bench/sitting area,,,,,Queens
06/13/2020 02:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 04:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:57:00 PM,Q099,DEP,Social distancing,Social Distancing,5,10,Open field/multi-purpose play area,,,,,Queens
06/13/2020 04:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:45:00 PM,M099,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,4,true,false,Manhattan
06/13/2020 03:59:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 03:53:00 PM,Q015,DEP,Social distancing,Social Distancing,11,7,Bench/sitting area,,,,,Queens
06/13/2020 03:55:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,3,true,true,Queens
06/13/2020 03:54:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 03:53:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:45:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:50:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 03:48:00 PM,Q015,DEP,Social distancing,Social Distancing,8,0,Walking path,,,,,Queens
06/13/2020 03:45:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:35:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 03:30:00 PM,R106,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:40:00 PM,B073-07,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,18,true,true,Brooklyn
06/13/2020 01:00:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:30:00 PM,B018-02,DEP,Social distancing,Social Distancing,3,0,Open field/multi-purpose play area,,,,,Brooklyn
06/13/2020 03:00:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/12/2020 03:34:00 AM,Q308,OATH,Social distancing,Social Distancing,4,5,Walking path,,,,,Queens
06/13/2020 03:34:00 AM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 03:40:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:30:00 PM,Q102,DEP,Social distancing,Social Distancing,0,25,Open field/multi-purpose play area,,,,,Queens
06/13/2020 03:35:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:30:00 PM,R031,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:30:00 PM,R107,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 02:30:00 PM,R031,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:00:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:30:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:23:00 PM,X118,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Parking Lot (Closed),7,true,false,Bronx
05/13/2020 03:26:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:20:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:22:00 PM,Q008,DEP,Social distancing,Social Distancing,4,0,Bench/sitting area,,,,,Queens
06/13/2020 12:45:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 03:15:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,12,true,true,Queens
06/13/2020 03:15:00 PM,Q163-21,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Bocce court,3,true,true,Queens
06/13/2020 03:15:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:35:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,B082,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 03:15:00 PM,Q458,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:13:00 PM,Q021,DEP,Social distancing,Social Distancing,17,2,Open field/multi-purpose play area,,,,,Queens
06/13/2020 03:13:00 PM,Q006,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,Q024,DOC,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:11:00 PM,Q004,DEP,Social distancing,Social Distancing,5,0,Walking path,,,,,Queens
06/13/2020 03:00:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:24:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:55:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:00:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,10,true,true,Queens
06/13/2020 03:06:00 PM,Q015,DEP,Social distancing,Social Distancing,14,5,Bench/sitting area,,,,,Queens
06/13/2020 12:30:00 PM,Q102-02,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,3,true,false,Queens
06/13/2020 03:03:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,5,true,true,Queens
06/13/2020 03:04:00 PM,Q006,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:00:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 03:02:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:57:00 PM,Q099,DEP,Social distancing,Social Distancing,3,6,Open field/multi-purpose play area,,,,,Queens
06/13/2020 12:47:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 03:00:00 PM,Q102,DEP,Social distancing,Social Distancing,9,9,Bench/sitting area,,,,,Queens
06/13/2020 02:50:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:50:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:00:00 PM,Q163,DEP,Social distancing,Social Distancing,200,0,Walking path,,,,,Queens
06/13/2020 02:54:00 AM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:55:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:50:00 PM,B073-07,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,20,true,true,Brooklyn
06/14/2020 02:45:00 PM,Q448,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:50:00 PM,Q099,DEP,Social distancing,Social Distancing,6,6,Open field/multi-purpose play area,,,,,Queens
06/13/2020 12:10:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:50:00 PM,R107,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 02:00:00 PM,R066,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 02:48:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:47:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:45:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/16/2020 02:30:00 PM,Q102,DEP,Social distancing,Social Distancing,13,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 02:35:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:43:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:38:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:30:00 PM,X039,DEP,Social distancing,Social Distancing,6,0,Bench/sitting area,,,,,Bronx
06/13/2020 02:35:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:15:00 PM,R106,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/13/2020 02:34:00 PM,Q448-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:35:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:31:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:30:00 PM,X092-09,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:30:00 PM,Q458,DEP,Social distancing,Social Distancing,10,0,Parking Lot,,,,,Queens
06/13/2020 02:29:00 PM,B073,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,8,true,false,Brooklyn
06/13/2020 02:22:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:30:00 PM,Q001-01,DEP,Social distancing,Social Distancing,0,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 02:25:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:26:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:23:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:25:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:24:00 PM,B073,OATH,Social distancing,Social Distancing,12,0,Open field/multi-purpose play area,,,,,Brooklyn
06/13/2020 02:22:00 PM,Q356,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 12:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:20:00 PM,Q015,DEP,Social distancing,Social Distancing,7,1,Walking path,,,,,Queens
06/13/2020 02:20:00 PM,Q015,DEP,Social distancing,Social Distancing,7,1,Bench/sitting area,,,,,Queens
06/13/2020 02:18:00 PM,B082,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:17:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 01:31:00 PM,Q015,DEP,Social distancing,Social Distancing,3,0,Walking path,,,,,Queens
06/13/2020 11:45:00 AM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:14:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:12:00 AM,M099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/13/2020 02:09:00 PM,R031,DEP,Social distancing,Social Distancing,45,6,Open field/multi-purpose play area,,,,,Staten Island
06/13/2020 02:00:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:09:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/13/2020 02:08:00 PM,B018,DEP,Social distancing,Social Distancing,5,2,Open field/multi-purpose play area,,,,,Brooklyn
06/13/2020 02:05:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:05:00 PM,Q102,DEP,Social distancing,Social Distancing,8,8,Bench/sitting area,,,,,Queens
06/13/2020 02:05:00 PM,B066,DDC,Patrons in an area closed to the public,Patrons in Closed Area,,,,Skate Park,17,false,false,Brooklyn
06/13/2020 02:06:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 12:56:00 PM,Q099,DEP,Social distancing,Social Distancing,25,0,Open field/multi-purpose play area,,,,,Queens
06/13/2020 02:00:00 PM,Q099,DEP,Social distancing,Social Distancing,0,40,Parking Lot,,,,,Queens
06/13/2020 02:04:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/13/2020 02:05:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/13/2020 02:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 02:05:00 PM,B073,DEP,Social distancing,Social Distancing,8,14,Open field/multi-purpose play area,,,,,Brooklyn
06/12/2020 03:04:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/13/2020 02:00:00 PM,X039,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/13/2020 01:59:00 PM,B073,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/13/2020 02:00:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
